REGION,COAST,COAST,COAST,EAST,EAST,EAST,FWEST,FWEST,FWEST,NCENT,NCENT,NCENT,NORTH,NORTH,NORTH,SCENT,SCENT,SCENT,SOUTH,SOUTH,SOUTH,WEST,WEST,WEST
INDICATOR,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load
DATE,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31 15:00:00,30.0,900.0,13529.3699873,28.3,800.89,1489.2503054,31.7,1004.89,2386.9094158000007,30.0,900.0,13212.6531064,26.7,712.89,747.7994623,29.4,864.3599999999999,6949.1809896,30.6,936.3600000000001,3971.1391647,31.1,967.21,1205.2701899
2017-03-31 16:00:00,28.9,835.2099999999999,13848.217699,28.3,800.89,1528.2498287,32.2,1036.8400000000001,2414.4366375,29.7,882.0899999999999,13727.4757301,26.7,712.89,762.5649854,29.4,864.3599999999999,7197.2133503999985,28.9,835.2099999999999,4057.0640349,31.1,967.21,1247.0624965999998
2017-03-31 17:00:00,28.3,800.89,13700.8329742,27.8,772.84,1509.3490484,31.7,1004.89,2395.5340595,28.3,800.89,13825.441134,27.2,739.8399999999999,768.90825,29.4,864.3599999999999,7375.9912012999985,27.2,739.8399999999999,3982.8434369,30.3,918.09,1257.1479662999998
2017-03-31 18:00:00,24.4,595.3599999999999,13073.1026752,26.7,712.89,1482.3184354,30.6,936.3600000000001,2369.9918808,27.8,772.84,13533.122776700002,26.1,681.21,759.3020443,27.8,772.84,7259.3715892,25.0,625.0,3798.8159291,28.9,835.2099999999999,1236.813192
2017-03-31 19:00:00,23.3,542.89,12483.6973555,22.2,492.84,1414.6467687000004,29.75,885.0625,2330.7567085,26.95000000000001,726.3025000000006,12998.3958249,24.45000000000001,597.8025000000005,746.4555253999998,26.4,696.9599999999999,6911.340420999999,24.15,583.2225,3591.7623265,26.5,702.25,1193.9059574
2017-03-31 20:00:00,21.1,445.21000000000004,12342.2169861,20.6,424.36000000000007,1410.4467909000002,26.7,712.89,2317.6746341,23.3,542.89,12878.5184347,21.7,470.89,755.7951822000001,23.3,542.89,6754.3332515,22.866666666666664,522.8844444444443,3575.0708338,24.7,610.0899999999999,1193.4988112
2017-03-31 21:00:00,20.6,424.36000000000007,11834.826789,21.7,470.89,1343.2488752,25.0,625.0,2295.1659311,23.9,571.2099999999999,12371.0238639,19.4,376.35999999999996,730.5822906000002,21.1,445.21000000000004,6410.1280507,22.8,519.84,3443.2975193,23.6,556.96,1166.4010529000002
2017-03-31 22:00:00,19.4,376.35999999999996,11212.6431216,20.0,400.0,1256.5349344,24.4,595.3599999999999,2244.6227147,23.05,531.3025,11442.0052048,18.9,357.2099999999999,693.0076772000001,19.4,376.35999999999996,5935.1785094,22.8,519.84,3273.1883252,22.8,519.84,1110.9312535999998
2017-03-31 23:00:00,18.9,357.2099999999999,10499.6332261,18.9,357.2099999999999,1157.4752181,22.8,519.84,2179.0793716,20.0,400.0,10420.3676981,18.9,357.2099999999999,650.8399873999998,18.3,334.89000000000004,5347.5068639,22.5,506.25,3052.0123627,21.5,462.25,1040.0608937000004
2017-04-01 00:00:00,18.9,357.2099999999999,9804.833512,17.8,316.84000000000003,989.0255835,22.65,513.0224999999999,2117.7430223,18.3,334.89000000000004,9594.6224996,17.2,295.84,628.8924234,17.9,320.40999999999997,4911.9639868,22.5,506.25,2819.4209283000005,20.3,412.09000000000003,967.3591153
2017-04-01 01:00:00,18.35,336.7225,9352.4024808,16.7,278.89,918.2622266,22.25,495.0625,2082.1356018,18.85,355.32250000000005,8909.4880505,16.1,259.21000000000004,598.6450855,18.85,355.32250000000005,4586.1345915,22.2,492.84,2654.5766649,18.8,353.44000000000005,925.009056
2017-04-01 02:00:00,16.7,278.89,9048.9748725,15.6,243.35999999999999,912.0989027,21.1,445.21000000000004,2053.1863455,18.3,334.89000000000004,8430.9267301,14.4,207.36,581.4341382,19.2,368.64,4379.8106741,22.2,492.84,2551.3312977,17.7,313.28999999999996,890.9672914999999
2017-04-01 03:00:00,17.2,295.84,8885.5809192,16.1,259.21000000000004,909.7592996,20.0,400.0,2027.8769305,17.8,316.84000000000003,8153.0111005,13.3,176.89000000000001,572.0868712,19.7,388.09,4223.5587353,22.8,519.84,2487.0457706,16.9,285.60999999999996,876.1872657
2017-04-01 04:00:00,16.7,278.89,8816.1571274,15.6,243.35999999999999,917.4156879,18.9,357.2099999999999,2016.1695144,17.25,297.5625,8050.05006,11.7,136.89,568.5614075,18.9,357.2099999999999,4203.0564954,22.1,488.4100000000001,2447.7528118,16.1,259.21000000000004,867.2788256000001
2017-04-01 05:00:00,16.1,259.21000000000004,8910.235481200001,15.6,243.35999999999999,937.4041721,17.8,316.84000000000003,2003.770829,16.1,259.21000000000004,8204.7893352,12.8,163.84000000000003,578.8700787,18.3,334.89000000000004,4279.4129359,22.2,492.84,2464.9197574,14.8,219.04000000000002,869.6370998
2017-04-01 06:00:00,16.7,278.89,9169.6868707,15.6,243.35999999999999,989.9452404,13.9,193.21,2006.6891414,15.8,249.64000000000001,8581.3864585,12.8,163.84000000000003,598.2254954,18.9,357.2099999999999,4476.6954270000015,22.2,492.84,2556.6339977,14.9,222.01000000000002,899.3440019999998
2017-04-01 07:00:00,17.25,297.5625,9348.647259,16.7,278.89,1003.0099994,13.05,170.3025,2030.0284069,16.15,260.82249999999993,9020.1627741,13.35,178.2225,617.483995,18.85,355.32250000000005,4724.4120062,22.5,506.25,2631.7583401,15.4,237.16000000000003,926.7930725
2017-04-01 08:00:00,20.0,400.0,9798.7691485,18.3,334.89000000000004,1081.8546431,12.8,163.84000000000003,2045.1270378,17.5,306.25,9540.924316399998,15.0,225.0,636.6462214,20.0,400.0,4989.5215337,23.9,571.2099999999999,2759.8984301,16.3,265.69,961.9444095
2017-04-01 09:00:00,23.3,542.89,10410.4526612,20.6,424.36000000000007,1131.239377,15.6,243.35999999999999,2092.7480432,19.4,376.35999999999996,10116.8642949,16.7,278.89,654.2207244,21.4,457.9599999999999,5267.053961,24.4,595.3599999999999,2994.0311065,17.099999999999998,292.4099999999999,994.2105136
